iter	RMSE
0	39.07207641
1	38.09759348
2	37.13014493
3	36.19573756
4	35.28261933
5	34.40528817
6	33.54389085
7	32.70850069
8	31.92192279
9	31.15216214
10	30.40958693
11	29.6994932
12	28.9973029
13	28.29973993
14	27.63633036
15	26.99186762
16	26.37208448
17	25.76680409
18	25.17403867
19	24.61132838
20	24.05905841
21	23.54362384
22	23.01883601
23	22.5046206
24	22.04976902
25	21.56361394
26	21.11113272
27	20.660999
28	20.22497394
29	19.81402515
30	19.41331854
31	19.02473174
32	18.64945811
33	18.30981305
34	17.95650095
35	17.61156458
36	17.27786238
37	16.95392574
38	16.66127094
39	16.35792372
40	16.0250452
41	15.73320955
42	15.45631685
43	15.17737959
44	14.93123917
45	14.68034266
46	14.42982248
47	14.17340639
48	13.94764943
49	13.7157149
50	13.49625709
51	13.27468882
52	13.06853718
53	12.87190162
54	12.66871376
55	12.48178233
56	12.30069891
57	12.11379578
58	11.94108551
59	11.77813397
60	11.61088279
61	11.43722056
62	11.27474199
63	11.10853443
64	10.9667975
65	10.84591739
66	10.71141852
67	10.57611059
68	10.44681916
69	10.31928483
70	10.19247578
71	10.05775548
72	9.937880637
73	9.830479639
74	9.70467649
75	9.596274308
76	9.485473512
77	9.37948752
78	9.277501963
79	9.171693628
80	9.073489727
81	8.976303284
82	8.867747841
83	8.771717698
84	8.674508064
85	8.575557172
86	8.478187161
87	8.397642587
88	8.310835896
89	8.234935079
90	8.148719939
91	8.066928888
92	7.954991318
93	7.886730075
94	7.803805494
95	7.729851909
96	7.640325474
97	7.573447979
98	7.497275322
99	7.420248348
100	7.330026004
101	7.276606422
102	7.20710137
103	7.142171066
104	7.084255259
105	7.004423805
106	6.950559827
107	6.89560001
108	6.833188137
109	6.771779153
110	6.714482195
111	6.653299832
112	6.593834727
113	6.544618048
114	6.492725583
115	6.444803283
116	6.409022004
117	6.357107755
118	6.305872213
119	6.257249548
120	6.21713191
121	6.167978457
122	6.128009345
123	6.072145079
124	6.034823585
125	5.989106173
126	5.939025939
127	5.908730314
128	5.861625772
129	5.828799836
130	5.795712213
131	5.75784315
132	5.72582965
133	5.693373712
134	5.66026935
135	5.621456832
136	5.593822986
137	5.571182806
138	5.526841367
139	5.478225104
140	5.428289269
141	5.394702714
142	5.360506625
143	5.322214771
144	5.278724428
145	5.253913438
146	5.217640478
147	5.183936952
148	5.15778239
149	5.127505321
150	5.096324063
151	5.058850722
152	5.018157644
153	4.980246358
154	4.948814351
155	4.911656708
156	4.880101363
157	4.851811015
158	4.8244692
159	4.79962608
160	4.765629645
161	4.733941857
162	4.702085705
163	4.677579159
164	4.640209105
165	4.607666798
166	4.588608509
167	4.568240721
168	4.531088018
169	4.495914053
170	4.473440877
171	4.447325275
172	4.424051929
173	4.408155075
174	4.378590791
175	4.353244741
176	4.318588304
177	4.299442963
178	4.270044498
179	4.243862009
180	4.225501953
181	4.204688043
182	4.178117373
183	4.155643483
184	4.131987519
185	4.115849167
186	4.096382093
187	4.086968804
